（父）ASIN,（子）ASIN,商品名称,会话次数 – 总计,会话次数 – 总计 – B2B,会话百分比 – 总计,会话百分比 – 总计 – B2B,页面浏览量 – 总计,页面浏览量 – 总计 – B2B,页面浏览量百分比 – 总计,页面浏览量百分比 – 总计 – B2B,推荐报价（购买按钮）百分比,推荐报价（购买按钮）百分比 – B2B,已订购商品数量,已订购商品数量 - B2B,商品会话百分比,商品会话百分比 - B2B,已订购商品销售额,已订购商品销售额 - B2B,订单商品总数,订单商品总数 - B2B
B0D6F4GPX2,B0D6F4GPX2,"AUTIGERSAFE Set of 2 Nesting Tables, Modern Round Nesting Coffee Table with Storage, Farmhouse End Tables Living Room, Wood Side Tables Set of 2 for Sofa, Bedroom White",1,0,0.05%,0.00%,2,0,0.07%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
B0DHRL3LX2,B0D6F4GPX2,"AUTIGERSAFE Set of 2 Nesting Tables, Modern Round Nesting Coffee Table with Storage, Farmhouse End Tables Living Room, Wood Side Tables Set of 2 for Sofa, Bedroom White",28,0,1.27%,0.00%,43,0,1.40%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
B0D6F7DB88,B0D6F7DB88,"AUTIGERSAFE Set of 2 Nesting Tables, Modern Round Nesting Coffee Table with Storage, Farmhouse End Tables Living Room, Wood Side Tables Set of 2 for Sofa, Bedroom Grey",4,1,0.18%,2.44%,7,4,0.23%,6.35%,100.00%,0.00%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
B0DHRL3LX2,B0D6F7DB88,"AUTIGERSAFE Set of 2 Nesting Tables, Modern Round Nesting Coffee Table with Storage, Farmhouse End Tables Living Room, Wood Side Tables Set of 2 for Sofa, Bedroom Grey",39,0,1.77%,0.00%,52,0,1.69%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
B0DDGFHTXC,B0DDFZJ4ND,"AUTIGERSAFE Kids Bookcase with Collapsible Fabric Drawers, 2 Tier Wooden Storage Cabinet, Toy Storage Cabinet Organizer, White Bookshelf for Bedroom, Playing Room, Kid Room (Grey)",229,5,10.39%,12.20%,314,6,10.23%,9.52%,96.96%,100.00%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
B0DDGFHTXC,B0DDG1713S,"AUTIGERSAFE Kids Bookcase with Collapsible Fabric Drawers, 4 Cube Toy Storage Organizer, 2 Tier Wooden Bookcase, Pink Bookshelf for Bedroom, Playing Room, Kid Room (Pink)",35,0,1.59%,0.00%,44,0,1.43%,0.00%,90.00%,0.00%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
B0DHRSBN3K,B0DHRSBN3K,"AUTIGERSAFE Safe Box, 1.4 Cubic Feet Personal Home Safe Box with Fireproof Waterproof Bags,Fire Proof Safe for Home Documents,Money,Cash,Gun Office Security Safe with Electronic Digital Keypad",11,0,0.50%,0.00%,19,0,0.62%,0.00%,89.47%,0.00%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
B0DJ8QMG4C,B0DHRSRPWX,"AUTIGERSAFE Safe Box, 1.8 Cubic Feet Personal Home Safe Box with Fireproof Waterproof Bags,Fire Proof Safe for Home Documents,Money,Cash,Gun Office Security Safe with Electronic Digital Keypad",1,0,0.05%,0.00%,1,0,0.03%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
B0DHRSRPWX,B0DHRSRPWX,"AUTIGERSAFE Safe Box, 1.8 Cubic Feet Personal Home Safe Box with Fireproof Waterproof Bags,Fire Proof Safe for Home Documents,Money,Cash,Gun Office Security Safe with Electronic Digital Keypad",4,0,0.18%,0.00%,10,0,0.33%,0.00%,60.00%,0.00%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
B0DHRW1RY5,B0DHRW1RY5,"AUTIGERSAFE Safe Box, 1.8 Cubic Feet Personal Home Safe Box with Fireproof Waterproof Bags,Fire Proof Safe for Home Documents,Money,Cash,Gun Office Security Safe with Electronic Digital Keypad",3,0,0.14%,0.00%,4,0,0.13%,0.00%,50.00%,0.00%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
B0DJ8QMG4C,B0DHRW1RY5,"AUTIGERSAFE Safe Box, 1.8 Cubic Feet Personal Home Safe Box with Fireproof Waterproof Bags,Fire Proof Safe for Home Documents,Money,Cash,Gun Office Security Safe with Electronic Digital Keypad",1,0,0.05%,0.00%,1,0,0.03%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
B0DHRWKDL8,B0DHRWKDL8,"AUTIGERSAFE Safe Box, 1.8 Cubic Feet Personal Home Safe Box with Fireproof Waterproof Bags,Fire Proof Safe for Home Documents,Money,Cash,Gun Office Security Safe with Electronic Digital Keypad",6,0,0.27%,0.00%,13,0,0.42%,0.00%,69.23%,0.00%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
B0CRYSTV7N,B0DJ87MK4W,"AUTIGERSAFE Lotus Chair with Waist Pillow, Vanity Chair for Makeup,Velvet Upholstered Armchair, Chair for Bedroom with Wooden Leg,Balck",1,0,0.05%,0.00%,1,0,0.03%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
B0DJ8MFG5K,B0DJ87MK4W,"AUTIGERSAFE Lotus Chair with Waist Pillow, Vanity Chair for Makeup,Velvet Upholstered Armchair, Chair for Bedroom with Wooden Leg,Balck",1,0,0.05%,0.00%,4,0,0.13%,0.00%,75.00%,0.00%,0,0,0.00%,0.00%,US$0.00 ,US$0.00 ,0,0
